lat,lon
40.650021,-73.915548
40.650025,-73.898728
40.650049,-73.931213
40.650085,-73.9610087
40.650109,-73.930206
40.650147,-74.005074
40.650172,-73.929198
40.6501936,-74.0157764
40.650199,-73.9599573
40.650201,-73.919621
40.650228,-73.928265
40.650244,-73.902734
40.6502747,-73.9719827
40.650282,-73.997818
40.6502868,-73.9755873
40.650288,-73.927295
40.650292,-73.978716
40.650298,-73.966145
40.6503372,-74.0084048
40.650342,-73.97461
40.65035,-73.926326
40.650353,-73.885721
40.6503564,-74.0115171
40.6503618,-73.9586806
40.650403,-73.894213
40.650407,-73.925392
40.6504449,-74.0192052
40.650448,-73.911101
40.650469,-73.924421
40.650479,-73.909631
40.6504834,-73.89802
40.650484,-73.914835
40.65053,-73.9234552
40.65053,-73.955825
40.65057,-73.9548
40.650587,-73.922519
40.650637,-73.977833
40.650642,-73.965262
40.650644,-73.921585
40.650655,-73.952951
40.65066,-73.918907
40.65067,-73.952469
40.650686,-73.973727
40.6506997,-73.972397
40.650701,-73.962645
40.650706,-74.00449
40.650716,-73.951378
40.650765,-73.884806
40.65077,-73.920255
40.650773,-74.015184
40.6507754,-73.9758646
40.650807,-73.949571
40.650855,-73.948591
40.6508701,-73.9088131
40.650899,-73.947656
40.650944,-73.905968
40.650945,-73.914122
40.650948,-73.946674
40.650969,-73.976976
40.6509699,-73.9612029
40.6509824,-74.0079544
40.651005,-73.964355
40.651006,-73.945706
40.6510128,-74.0186077
40.651014,-73.91023
40.651064,-73.94477
40.651098,-73.920622
40.651106,-73.9438
40.65111,-73.942826
40.6511216,-74.0112864
40.651158,-73.918137
40.6511629,-73.9628522
40.651169,-73.941891
40.6511821,-73.8900427
40.6511956,-73.9235115
40.6511961,-73.9589005
40.6512242,-73.9712491
40.651229,-73.940957
40.6512409,-73.9579778
40.6512515,-73.9225891
40.6512567,-73.8988783
40.651266,-74.003908
40.651276,-73.940025
40.651326,-73.939051
40.651331,-73.883492
40.651333,-74.014596
40.651333,-73.907784
40.6513508,-73.9558964
40.651353,-73.892743
40.651364,-73.963442
40.651376,-73.938081
40.6513787,-73.8654904
40.6513826,-73.8896291
40.651407,-73.913407
40.651421,-73.937146
40.651433,-73.975814
40.651461,-74.0072362
40.651469,-73.936175
40.6514797,-74.0103369
40.6514968,-73.8991197
40.651514,-73.935204
40.651522,-73.909449
40.651532,-73.96302
40.651546,-73.952563
40.651563,-73.934268
40.6515747,-74.0180164
40.651592,-73.98111
40.651606,-73.933296
40.651648,-73.932325
40.651654,-73.91737
40.65169,-73.931392
40.651698,-73.949669
40.651716,-73.882696
40.6517286,-73.9724237
40.651733,-73.958054
40.651734,-73.930381
40.6517367,-73.8888045
40.651742,-73.965242
40.651749,-73.948674
40.651783,-73.974883
40.651798,-73.947743
40.65183,-74.003327
40.651854,-73.946776
40.651867,-73.912692
40.651877,-73.904551
40.651881,-73.895861
40.651895,-74.014012
40.651939,-73.929392
40.6520031,-73.8879152
40.6520249,-73.9703306
40.652032,-73.979994
40.6520948,-73.8660542
40.6521011,-74.0067911
40.652117,-73.916654
40.652128,-73.974
40.6521317,-73.8998707
40.6521362,-74.0174256
40.652145,-73.959151
40.6521694,-73.9613939
40.652176,-73.928475
40.652253,-74.0101062
40.6522609,-73.9767819
40.652271,-73.920746
40.6523034,-73.8663659
40.652312,-73.908216
40.652318,-73.927514
40.6523514,-73.8871044
40.652365,-73.891366
40.65237,-73.882292
40.652378,-73.979115
40.652385,-74.002751
40.652392,-73.926547
40.652437,-73.911815
40.652446,-73.92561
40.652451,-73.96344
40.652453,-74.01343
40.6524552,-73.8871814
40.652463,-73.9228623
40.65249,-73.952664
40.652491,-73.921784
40.6525,-73.965751
40.6525,-73.92464
40.652538,-73.923666
40.652556,-73.960423
40.652577,-73.915941
40.6525813,-74.0060713
40.652596,-73.920208
40.652603,-74.0091675
40.652637,-73.981297
40.652642,-73.949769
40.6526571,-73.9726485
40.6526992,-73.9566502
40.6527017,-73.8862449
40.652715,-73.890598
40.652721,-73.97823
40.6527223,-73.956053
40.652735,-73.976082
40.652796,-73.946873
