k,imbalance,lat,lon,region
32,10,40.6528504,-73.8666749,3
32,10,40.652855,-73.945905,1
32,10,40.652915,-73.94497,1
32,10,40.652928,-73.959329,1
32,10,40.652951,-73.911016,0
32,10,40.652956,-74.002144,2
32,10,40.652973,-73.944002,1
32,10,40.6529916,-73.9620414,1
32,10,40.6530059,-73.8820204,3
32,10,40.653016,-74.012844,2
32,10,40.653033,-73.943029,1
32,10,40.653039,-73.915226,0
32,10,40.653067,-73.889788,3
32,10,40.653089,-73.898334,0
32,10,40.653091,-73.942098,1
32,10,40.6531,-73.975136,1
32,10,40.6531442,-73.9227662,0
32,10,40.653149,-73.941164,1
32,10,40.6531653,-73.961587,1
32,10,40.653189,-73.966213,1
32,10,40.653207,-73.94023,1
32,10,40.6532204,-73.8853918,3
32,10,40.653228,-73.976995,1
32,10,40.653253,-73.922555,0
32,10,40.653263,-73.963812,1
32,10,40.653267,-73.93926,1
32,10,40.653289,-73.919185,0
32,10,40.653327,-73.93829,1
32,10,40.6533323,-73.8814206,3
32,10,40.653342,-73.97949,2
32,10,40.6533519,-74.0058791,2
32,10,40.6533681,-74.0089529,2
32,10,40.653379,-73.906571,0
32,10,40.653386,-73.937356,1
32,10,40.653416,-73.981453,2
32,10,40.6534171,-73.8846251,3
32,10,40.653419,-73.888969,3
32,10,40.653445,-73.936386,1
32,10,40.653445,-73.974251,1
32,10,40.653501,-73.914511,0
32,10,40.653502,-73.976227,1
32,10,40.653505,-73.935416,1
32,10,40.653521,-73.910144,0
32,10,40.653563,-73.934483,0
32,10,40.653573,-74.012266,2
32,10,40.653575,-73.959451,1
32,10,40.6535856,-73.9228526,0
32,10,40.653608,-73.920876,0
32,10,40.6536262,-73.9335102,0
32,10,40.6536338,-73.8977851,0
32,10,40.653667,-73.978653,2
32,10,40.6536831,-73.9325387,0
32,10,40.6536987,-73.9223828,0
32,10,40.653711,-73.892457,3
32,10,40.653742,-73.931608,0
32,10,40.653745,-73.918473,0
32,10,40.653752,-73.901651,0
32,10,40.6537549,-73.8817284,3
32,10,40.653769,-73.888156,3
32,10,40.653777,-73.956164,1
32,10,40.6537844,-73.9221916,0
32,10,40.6538018,-74.0050489,2
32,10,40.6538047,-74.01567,2
32,10,40.653805,-73.930604,0
32,10,40.65381,-73.896782,0
32,10,40.6538532,-73.8652244,3
32,10,40.653862,-73.929594,0
32,10,40.6538853,-73.9730495,1
32,10,40.653923,-73.928662,0
32,10,40.6539299,-73.9718777,1
32,10,40.653976,-73.9127327,0
32,10,40.653978,-73.952824,1
32,10,40.653985,-73.927694,0
32,10,40.653995,-73.964145,1
32,10,40.654003,-73.979926,2
32,10,40.654044,-73.926721,0
32,10,40.6540525,-73.9151198,0
32,10,40.654067,-74.000995,2
32,10,40.6540717,-73.9617537,1
32,10,40.654079,-73.977596,2
32,10,40.65408,-73.891608,3
32,10,40.6540819,-73.9158406,0
32,10,40.654103,-73.925789,0
32,10,40.654105,-73.9164061,0
32,10,40.6541322,-74.0117111,2
32,10,40.6541333,-74.0086203,2
32,10,40.654141,-73.887311,3
32,10,40.65415,-73.94993,1
32,10,40.6541609,-73.9153317,0
32,10,40.654162,-73.924821,0
32,10,40.654173,-73.895944,0
32,10,40.6542101,-73.9189881,0
32,10,40.654221,-73.923849,0
32,10,40.6542286,-73.9137867,0
32,10,40.6542291,-73.9195654,0
32,10,40.654252,-73.9202623,0
32,10,40.6542597,-73.923227,0
32,10,40.6542867,-73.9153226,0
32,10,40.6542907,-74.00436,2
32,10,40.6542934,-73.9087287,0
32,10,40.6543011,-73.912549,0
32,10,40.6543286,-74.0078103,2
32,10,40.6543348,-73.9200651,0
32,10,40.654339,-73.947032,1
32,10,40.6543403,-73.9107378,0
32,10,40.6543436,-73.9632246,1
32,10,40.6543502,-73.913946,0
32,10,40.6543559,-73.9217107,0
32,10,40.6543719,-73.9210912,0
32,10,40.6543752,-74.0150697,2
32,10,40.654376,-73.979136,2
32,10,40.6543773,-73.9147479,0
32,10,40.6544031,-73.915511,0
32,10,40.65441,-73.946066,1
32,10,40.654428,-73.890794,3
32,10,40.6544313,-73.9078148,0
32,10,40.6544494,-73.9167886,0
32,10,40.654451,-73.9766447,1
32,10,40.654457,-73.960783,1
32,10,40.6544621,-73.9210781,0
32,10,40.654472,-73.945137,1
32,10,40.6544723,-73.9082349,0
32,10,40.6544804,-73.9097692,0
32,10,40.654483,-73.886532,3
32,10,40.6544855,-73.8952355,0
32,10,40.6544903,-73.9180582,0
32,10,40.654512,-73.9193237,0
32,10,40.654528,-73.944163,1
32,10,40.6545334,-74.0077359,2
32,10,40.6545429,-73.9202584,0
32,10,40.6545687,-73.8822259,3
32,10,40.654576,-73.943209,1
32,10,40.6546151,-73.9081616,0
32,10,40.654624,-73.942261,1
32,10,40.654629,-74.000413,2
32,10,40.6546309,-73.9761845,1
32,10,40.6546368,-73.9087125,0
32,10,40.6546483,-73.9732638,1
32,10,40.654681,-73.941327,1
32,10,40.6546938,-74.0111317,2
32,10,40.6547202,-74.0092528,2
32,10,40.654741,-73.940396,1
32,10,40.654747,-73.978039,2
32,10,40.6547479,-73.8777238,3
32,10,40.65478,-73.889977,3
32,10,40.6547897,-73.9054237,0
32,10,40.6547963,-73.9060428,0
32,10,40.654799,-73.939424,1
32,10,40.654833,-73.894411,3
32,10,40.654839,-73.959696,1
32,10,40.65485,-73.885681,3
32,10,40.654858,-73.938454,1
32,10,40.654875,-73.9619093,1
32,10,40.6548966,-73.9069578,0
32,10,40.6549063,-74.0038874,2
32,10,40.654916,-73.937518,1
32,10,40.654918,-73.921005,0
32,10,40.6549241,-74.0144921,2
32,10,40.654976,-73.936548,1
32,10,40.6549883,-73.8729313,3
32,10,40.6550142,-73.9054843,0
32,10,40.6550146,-73.9061629,0
32,10,40.6550261,-73.8793232,3
32,10,40.655039,-73.935578,1
32,10,40.655042,-74.016249,2
32,10,40.655049,-73.9563,1
32,10,40.6550612,-74.007188,2
32,10,40.655096,-73.934645,0
32,10,40.655114,-73.977077,1
32,10,40.655132,-73.889163,3
32,10,40.655132,-73.916332,0
32,10,40.655156,-73.933676,0
32,10,40.6551727,-73.9050979,0
32,10,40.6551816,-73.8619628,3
32,10,40.655186,-73.999837,2
32,10,40.655202,-73.893547,3
32,10,40.655216,-73.932706,0
32,10,40.655242,-73.9219425,0
32,10,40.655246,-73.981796,2
32,10,40.65525,-73.952959,1
32,10,40.6552547,-73.9031531,0
32,10,40.6552633,-73.8806295,3
32,10,40.655273,-73.931772,0
32,10,40.6552909,-74.0105159,2
32,10,40.6553085,-73.9041828,0
