65	543
41	99
27	37
31	34
44	92
13	24
58	78
5	9
40	68
13	25
33	48
12	27
15	57
24	62
14	34
19	27
11	26
17	28
36	74
14	19
30	47
7	12
29	33
40	61
17	62
15	43
88	94
21	24
36	63
17	27
65	117
17	28
36	67
50	120
13	36
37	42
31	47
24	67
22	31
81	163
110	197
22	60
33	54
21	26
38	48
56	93
13	29
53	55
20	22
24	49
4	10
20	84
34	111
45	128
69	84
58	78
10	26
22	35
7	24
14	31
38	49
73	160
29	130
19	30
11	14
68	120
30	33
66	147
4	11
20	56
58	77
16	18
6	8
15	26
9	14
72	80
11	14
22	52
20	33
97	102
3	5
24	47
64	88
10	28
17	22
87	99
59	102
37	55
19	39
95	97
17	61
17	50
54	104
49	51
10	12
39	50
35	40
48	73
29	55
9	17
18	33
78	234
13	16
34	69
11	28
40	45
70	97
93	420
13	35
13	23
107	135
18	24
21	52
107	364
40	75
77	135
7	17
27	42
66	68
29	45
33	140
18	47
13	29
10	29
52	64
18	20
11	25
31	48
33	38
10	12
10	18
23	57
16	29
30	112
23	42
25	49
32	49
40	62
10	29
20	47
13	17
36	103
25	68
34	69
31	48
36	138
62	95
46	90
30	85
11	15
14	40
29	33
9	16
50	156
43	66
31	50
17	38
16	38
40	90
11	36
27	52
8	17
10	22
20	25
65	100
5	13
53	68
27	36
10	24
70	145
5	14
40	56
20	39
23	50
65	107
28	202
21	39
68	82
107	341
27	81
49	59
29	35
10	12
27	30
12	37
15	24
5	11
21	38
30	47
19	31
23	28
9	16
17	19
63	89
19	27
10	14
15	19
9	35
38	51
30	60
28	33
6	9
12	41
10	15
70	135
11	16
29	38
29	36
9	15
12	16
16	18
85	91
35	72
33	70
16	22
25	99
16	18
35	125
28	121
25	75
68	141
17	20
13	15
14	23
19	25
33	45
28	93
3	6
31	47
8	20
34	90
21	58
42	124
74	93
44	127
15	41
47	67
16	19
16	20
4	6
30	69
21	37
5	9
17	20
7	10
62	81
21	32
62	99
49	125
17	23
12	29
16	22
72	585
22	34
13	19
19	26
42	45
14	35
12	15
13	26
32	63
11	25
33	82
44	81
13	39
43	108
14	29
33	35
47	174
50	78
22	70
22	26
4	12
15	21
8	11
39	97
65	67
15	31
20	48
25	51
28	67
76	87
11	13
35	85
27	41
9	13
81	107
40	157
13	16
53	57
19	21
15	30
20	45
48	106
18	33
20	42
52	54
15	22
27	34
44	62
31	41
18	20
50	58
10	47
24	47
5	13
31	52
51	151
70	105
28	45
6	16
10	14
37	48
55	166
82	106
10	71
18	23
52	76
31	64
83	87
39	65
32	99
12	14
49	80
39	95
8	17
19	34
35	56
76	78
28	65
19	89
15	33
14	22
13	19
24	73
25	27
68	85
9	13
35	106
27	36
87	232
22	67
66	79
19	33
87	125
58	68
35	121
12	19
33	126
24	38
24	42
11	14
24	26
47	60
30	68
30	50
28	72
26	57
24	35
21	30
15	17
19	21
19	40
14	44
18	39
27	39
24	27
23	32
16	49
40	77
57	169
108	110
29	31
75	156
14	27
56	78
59	62
21	44
25	42
73	102
16	22
27	32
15	23
55	132
27	138
107	172
20	24
68	107
15	27
64	212
44	46
11	23
52	66
24	28
11	15
58	73
22	24
21	33
75	77
7	14
25	27
24	42
29	51
23	62
14	32
32	34
13	34
31	72
63	76
21	23
33	45
7	17
