node_id,lat,long,color_id
43007054,40.5116616,-74.1973916,34
2537294608,40.5126109,-74.1970577,34
42972742,40.5127219,-74.1936386,34
2537294610,40.5127869,-74.1989069,34
42972737,40.5129129,-74.1948846,34
42957267,40.5130543,-74.1958063,34
42972734,40.5132139,-74.1968476,34
42957281,40.513597,-74.1959399,34
42957292,40.514142,-74.19668,34
42957294,40.514332,-74.194852,34
43007038,40.514969,-74.196743,34
43017753,40.515163,-74.195412,34
43013273,40.515228,-74.194875,34
43004507,40.5154004,-74.1937429,34
42983817,40.515463,-74.197857,34
43007033,40.515553,-74.196792,34
42974329,40.515928,-74.19682,34
42957387,40.516079,-74.195815,34
42959959,40.51609,-74.198659,34
42974336,40.516198,-74.195002,34
42974340,40.516398,-74.193533,34
42983809,40.516791,-74.198736,34
42957390,40.516798,-74.195824,34
42966467,40.516874,-74.195064,34
43002970,40.516934,-74.196908,34
42966464,40.517305,-74.193264,34
42950605,40.517559,-74.195114,34
42958509,40.51772,-74.19881,34
42989003,40.517728,-74.200976,34
42958506,40.517865,-74.196996,34
42957401,40.517992,-74.196067,34
42950603,40.518041,-74.193735,34
42958501,40.518289,-74.195215,34
42962935,40.51835,-74.198517,34
42948262,40.518495,-74.200231,34
42948259,40.518519,-74.199678,34
42958499,40.518652,-74.194189,34
42957402,40.518663,-74.196131,34
42983827,40.518749,-74.198988,34
2540763798,40.5190163,-74.2013917,34
42988996,40.519126,-74.197136,34
42958514,40.51928,-74.194649,34
42953705,40.519325,-74.199835,34
42957406,40.519424,-74.196199,34
42955972,40.5194846,-74.1876895,34
42951700,40.5196055,-74.1971847,34
2540763802,40.5197707,-74.199992,34
392228682,40.5197782,-74.1869772,34
43002760,40.5199609,-74.1781076,34
42953677,40.5199867,-74.1972709,34
42988992,40.519999,-74.19519,34
42958243,40.52004,-74.1999674,34
42951705,40.5201066,-74.1959407,34
43012138,40.520138,-74.1833327,34
42991460,40.520201,-74.188227,34
42955967,40.52041,-74.184941,34
43019062,40.520427,-74.18764,34
42995270,40.5205767,-74.1791269,34
43002742,40.520631,-74.178495,34
42952394,40.5206541,-74.182265,34
42955964,40.520855,-74.183824,34
42953521,40.5208779,-74.1796359,34
42985866,40.520946,-74.19899,34
42971104,40.5209829,-74.1888213,34
43026098,40.5210042,-74.1808864,34
43004496,40.5211013,-74.1960041,34
42952390,40.521262,-74.182714,34
42953525,40.5213246,-74.179975,34
2540788089,40.5215709,-74.1883256,34
